나라,인구,확진자,사망자,완치자,치료중,위중증
USA,331198130,5032179,162804,2576668,2292707,18296
Brazil,212710692,2917562,98644,2047660,771258,8318
India,1381344997,2025409,41638,1377384,606387,8944
Russia,145940924,871894,14606,676357,180931,2300
South Africa,59381566,538184,9604,387316,141264,539
Mexico,129066160,462690,50517,308848,103325,3987
Peru,33016319,455409,20424,310337,124648,1426
Chile,19132514,366671,9889,340168,16614,1358
Colombia,50936262,357710,11939,192355,153416,1493
Spain,46756648,354530,28500,NULL,NULL,617
Iran,84097623,320117,17976,277463,24678,4156
UK,67922029,308134,46413,NULL,NULL,73
Saudi Arabia,34865919,284226,3055,247089,34082,1915
Pakistan,221295851,281863,6035,256058,19770,809
Bangladesh,164851401,249651,3306,143824,102521,NULL
Italy,60452568,249204,35187,201323,12694,42
Turkey,84428331,237265,5798,220546,10921,580
Argentina,45236884,228195,4251,99852,124092,1150
Germany,83811260,215210,9252,196200,9758,236
France,65288306,195633,30312,82460,82861,384
Iraq,40306025,140603,5161,101025,34417,517
Philippines,109722719,119460,2150,66837,50473,239
Indonesia,273808365,118753,5521,75645,37587,NULL
Canada,37775022,118561,8966,103106,6489,2263
Qatar,2807805,112092,178,108831,3083,77
Kazakhstan,18798667,95942,1058,68871,26013,221
Egypt,102516525,95006,4951,48898,41157,41
Ecuador,17668824,90537,5877,71318,13342,378
Bolivia,11688459,86423,3465,27373,55585,71
Sweden,10105596,81967,5766,NULL,NULL,38
Oman,5118446,80713,492,70910,9311,177
Israel,9197590,79559,576,53427,25556,358
Ukraine,43705858,76808,1819,42524,32465,158
Dominican Republic,10858648,76536,1246,40539,34751,317
Panama,4321282,71418,1574,45658,24186,161
Belgium,11594739,71158,9859,17661,43638,61
Kuwait,4276658,70045,469,61610,7966,127
Belarus,9449001,68503,580,63756,4167,NULL
UAE,9902079,61845,354,55739,5752,NULL
Romania,19224023,57895,2566,28992,26337,458
Netherlands,17138756,56982,6153,NULL,NULL,37
Singapore,5854932,54555,27,48031,6497,NULL
Guatemala,17946899,54339,2119,42070,10150,5
Portugal,10193593,52061,1743,37840,12478,42
Poland,37842302,49515,1774,35642,12099,72
Nigeria,206606300,45244,930,32430,11884,7
Honduras,9919704,45098,1423,6116,37559,52
Bahrain,1706669,42889,156,39945,2788,41
Japan,126435859,42263,1026,28877,12360,115
Armenia,2963811,39819,772,31556,7491,NULL
Ghana,31133483,39642,199,36384,3059,7
Kyrgyzstan,6534479,38659,1447,30099,7113,24
Afghanistan,39009447,36896,1298,25840,9758,31
Switzerland,8660952,36108,1985,31600,2523,23
Algeria,43926079,33626,1273,23238,9115,57
Azerbaijan,10148243,33247,479,29275,3493,66
Morocco,36953359,29644,449,20553,8642,31
Uzbekistan,33516027,28315,175,19291,8849,228
Serbia,8733665,27332,621,14047,12664,120
Moldova,4032983,26628,828,18676,7124,362
Ireland,4943200,26372,1768,23364,1240,5
